,nconst,category,Staff name,IMDb rating,Nb movies,Ranking
528,nm0922035,actor,Dominic West,7.6,1,0.1
521,nm0910607,actor,Christoph Waltz,8.4,1,0.1
351,nm0197647,actor,James Badge Dale,7.0,1,0.1
113,nm0000439,actor,Neil Patrick Harris,8.1,1,0.1
76,nm0000277,actor,Richard Attenborough,8.2,1,0.1
77,nm0000284,actor,Adam Baldwin,8.3,1,0.1
78,nm0000286,actor,Stephen Baldwin,8.5,1,0.1
80,nm0000293,actor,Sean Bean,8.8,1,0.1
85,nm0000321,actor,Gabriel Byrne,8.5,1,0.1
89,nm0000345,actor,Billy Crystal,8.1,1,0.1
92,nm0000352,actor,Vincent D'Onofrio,8.3,1,0.1
100,nm0000388,actor,R. Lee Ermey,8.3,1,0.1
103,nm0000401,actor,Laurence Fishburne,8.7,1,0.1
107,nm0000417,actor,Crispin Glover,8.5,1,0.1
58,nm0000209,actor,Tim Robbins,9.3,1,0.1
41,nm0000172,actor,Harvey Keitel,8.3,1,0.1
54,nm0000200,actor,Bill Paxton,7.9,1,0.1
2,nm0000027,actor,Alec Guinness,8.6,1,0.1
6,nm0000102,actor,Kevin Bacon,7.7,1,0.1
9,nm0000111,actor,Matthew Broderick,8.5,1,0.1
14,nm0000123,actor,George Clooney,7.7,1,0.1
16,nm0000125,actor,Sean Connery,8.2,1,0.1
18,nm0000129,actor,Tom Cruise,7.9,1,0.1
24,nm0000140,actor,Michael Douglas,7.3,1,0.1
30,nm0000150,actor,Michael J. Fox,8.5,1,0.1
34,nm0000156,actor,Jeff Goldblum,8.2,1,0.1
71,nm0000245,actor,Robin Williams,8.3,1,0.1
69,nm0000242,actor,Mark Wahlberg,8.5,1,0.1
68,nm0000237,actor,John Travolta,8.9,1,0.1
192,nm0001001,actor,James Caan,9.2,1,0.1
284,nm0004747,actor,Wes Bentley,8.4,1,0.1
329,nm0095029,actor,Lawrence A. Bonney,8.6,1,0.1
323,nm0077720,actor,Michael Berryman,8.7,1,0.1
288,nm0004951,actor,Brad Garrett,8.1,1,0.1
289,nm0005024,actor,Terrence Howard,7.9,1,0.1
290,nm0005068,actor,Vinnie Jones,8.2,1,0.1
293,nm0005132,actor,Heath Ledger,9.0,1,0.1
294,nm0005134,actor,Jason Lee,8.0,1,0.1
295,nm0005157,actor,Jake Lloyd,6.5,1,0.1
296,nm0005171,actor,Angus Macfadyen,8.4,1,0.1
300,nm0005266,actor,Craig T. Nelson,8.0,1,0.1
301,nm0005286,actor,Haley Joel Osment,8.2,1,0.1
325,nm0085400,actor,Lewis Black,8.2,1,0.1
302,nm0005351,actor,Ryan Reynolds,8.0,1,0.1
1,nm0000020,actor,Henry Fonda,9.0,1,0.1
308,nm0005541,actor,Marlon Wayans,8.3,1,0.1
309,nm0006669,actor,William Sadler,9.3,1,0.1
