tconst,Year,IMDb rating,Movie title,rotten_tomatoes_link,movie_title,tomatometer_status,Rotten Tomatoes rating
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,Pinocchio,Certified-Fresh,100.0
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,Pinocchio,Certified-Fresh,100.0
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,Pinocchio,Certified-Fresh,100.0
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,Pinocchio,Certified-Fresh,100.0
tt0032943,1940,7.4,Pride and Prejudice,m/1016698-pride_and_prejudice,Pride and Prejudice,Fresh,100.0
tt0033028,1940,7.6,The Sea Hawk,m/1018433-sea_hawk,The Sea Hawk,Fresh,93.0
tt0033045,1940,8.0,The Shop Around the Corner,m/shop_around_the_corner,The Shop Around the Corner,Fresh,100.0
tt0033152,1940,7.4,The Thief of Bagdad,,,,
tt0033152,1940,7.4,The Thief of Bagdad,,,,
tt0033152,1940,7.4,The Thief of Bagdad,,,,
tt0033152,1940,7.4,The Thief of Bagdad,,,,
tt0033152,1940,7.4,The Thief of Bagdad,,,,
tt0033152,1940,7.4,The Thief of Bagdad,,,,
tt0033238,1940,7.7,Waterloo Bridge,m/waterloo_bridge,Waterloo Bridge,Fresh,80.0
tt0033253,1940,7.3,The Westerner,,,,
tt0033373,1941,7.7,Ball of Fire,m/ball_of_fire,Ball of Fire,Fresh,100.0
tt0033553,1941,6.8,Dr. Jekyll and Mr. Hyde,,,,
tt0033563,1941,7.2,Dumbo,m/dumbo,Dumbo,Certified-Fresh,98.0
tt0033563,1941,7.2,Dumbo,m/dumbo,Dumbo,Certified-Fresh,98.0
tt0033563,1941,7.2,Dumbo,m/dumbo,Dumbo,Certified-Fresh,98.0
tt0033563,1941,7.2,Dumbo,m/dumbo,Dumbo,Certified-Fresh,98.0
tt0033563,1941,7.2,Dumbo,m/dumbo,Dumbo,Certified-Fresh,98.0
tt0033563,1941,7.2,Dumbo,m/dumbo,Dumbo,Certified-Fresh,98.0
tt0033627,1941,7.3,49th Parallel,,,,
tt0033712,1941,7.6,Here Comes Mr. Jordan,m/here_comes_mr_jordan,Here Comes Mr. Jordan,Fresh,100.0
tt0033717,1941,7.5,High Sierra,m/high_sierra,High Sierra,Fresh,90.0
tt0033729,1941,7.7,How Green Was My Valley,m/how_green_was_my_valley,How Green Was My Valley,Certified-Fresh,89.0
tt0033804,1941,7.7,The Lady Eve,m/lady_eve,The Lady Eve,Certified-Fresh,100.0
tt0033836,1941,7.9,The Little Foxes,m/little_foxes,The Little Foxes,Fresh,100.0
tt0033874,1942,7.5,The Man Who Came to Dinner,,,,
tt0033891,1941,7.6,Meet John Doe,m/meet_john_doe,Meet John Doe,Fresh,91.0
tt0033922,1941,6.3,Mr. & Mrs. Smith,m/1014325-mr_and_mrs_smith,Mr. & Mrs. Smith,Fresh,67.0
tt0034012,1941,7.1,Penny Serenade,m/penny_serenade,Penny Serenade,Fresh,94.0
tt0034167,1941,7.7,Sergeant York,m/sergeant_york,Sergeant York,Fresh,86.0
tt0034172,1941,7.2,Shadow of the Thin Man,m/shadow_of_the_thin_man,Shadow of the Thin Man,Fresh,83.0
tt0034240,1941,7.9,Sullivan's Travels,m/sullivans_travels,Sullivan's Travels,Fresh,100.0
tt0034277,1941,7.2,They Died with Their Boots On,,,,
tt0034398,1941,7.2,The Wolf Man,m/wolf_man,The Wolf Man,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,Bambi,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,Bambi,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,Bambi,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,Bambi,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,Bambi,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,Bambi,Certified-Fresh,90.0
tt0034583,1942,8.5,Casablanca,m/1003707-casablanca,Casablanca,Certified-Fresh,99.0
tt0034587,1942,7.2,Cat People,m/1003757-cat_people,Cat People,Certified-Fresh,95.0
tt0034786,1942,6.1,The Ghost of Frankenstein,,,,
tt0034862,1942,7.3,Holiday Inn,m/holiday_inn,Holiday Inn,Fresh,100.0
tt0034862,1942,7.3,Holiday Inn,m/holiday_inn,Holiday Inn,Fresh,100.0
tt0034881,1942,7.1,I Married a Witch,m/i_married_a_witch,I Married a Witch,Fresh,95.0
tt0035015,1942,7.6,The Magnificent Ambersons,m/1013071-magnificent_ambersons,The Magnificent Ambersons,Certified-Fresh,89.0
tt0035015,1942,7.6,The Magnificent Ambersons,m/1013071-magnificent_ambersons,The Magnificent Ambersons,Certified-Fresh,89.0
tt0035015,1942,7.6,The Magnificent Ambersons,m/1013071-magnificent_ambersons,The Magnificent Ambersons,Certified-Fresh,89.0
tt0035019,1942,7.4,The Major and the Minor,,,,
tt0035093,1942,7.6,Mrs. Miniver,m/mrs_miniver,Mrs. Miniver,Fresh,93.0
tt0035140,1942,7.9,"Now, Voyager",m/now_voyager,"Now, Voyager",Fresh,93.0
tt0035160,1943,7.6,Obsession,,,,
tt0035169,1942,7.5,The Palm Beach Story,m/palm_beach_story,The Palm Beach Story,Fresh,97.0
